temiz_metin,konu_1_skor,konu_2_skor,dominant_konu,dominant_konu_skor
"Baklava 😉

Tebrikler @Fenerbahce  👏🏻👏🏻👏🏻",0.50799984,0.49200022,1,0.50799984
📍Gabar https://t.co/MHCuK0dwUd,0.50799984,0.49200022,1,0.50799984
"RT @Akparti: Bir genç var; yüreğiyle geleceği görüyor…
Bir ülke var; böyle gençlerle büyüyor…
Zülal ve onun gibi azmiyle, aklıyla, ilhamıyl…",0.81105936,0.18894061,1,0.81105936
"RT @RTErdogan: 2024-2025 Süper Lig Şampiyonu olan Galatasaray futbol takımını, teknik heyetini ve tüm @GalatasaraySK camiasını yürekten teb…",0.50746655,0.4925335,1,0.50746655
"RT @RTErdogan: Sağlık, bizden önce milletimizin en fazla şikâyet ettiği alanlardan biriydi.

Sağlam girenin hasta çıktığı o yapıyı değiştir…",0.20493452,0.79506546,2,0.79506546
RT @RTErdogan: İstanbul’u modern sağlık tesisleriyle donatmaya devam ediyoruz. https://t.co/TiZ1ZgndkS,0.20587914,0.7941209,2,0.7941209
"Anlaşılan CHP, her kademede Ekrem İmamoğlu'na benzemeye başlamış...",0.50799984,0.49200022,1,0.50799984
"RT @gundem7x24: NATO Genel Sekreteri Rutte:

Cumhurbaşkanı Erdoğan NATO içinde inanılmaz bir lider ve meslektaşları tarafından gerçekten sa…",0.7709012,0.22909886,1,0.7709012
"RT @RTErdogan: Bizim, başta ülkemizde ve bölgemizde olmak üzere küresel ölçekte barıştan, huzurdan, demokrasi, güvenlik ve istikrardan başk…",0.29598585,0.7040141,2,0.7040141
RT @CMShehbaz: Sevgili kardeşim Cumhurbaşkanı Recep Tayyip Erdoğan'ın Pakistan'a olan güçlü desteği ve sarsılmaz dayanışması beni derinden…,0.84415984,0.15584023,1,0.84415984
