temiz_metin,konu_1_skor,konu_2_skor,dominant_konu,dominant_konu_skor
"Kızılay tarafından üretilerek satışa sunulan şekersiz limonata içeriğinde %10 oranında limon suyu konsantresi ile doğal limon aroma vericisi bulunuyor.
Ürün ayrıca çeşitli katkı maddeleri ve tatlandırıcı olarak Asesülfam Potasyum ve Sukraloz içeriyor.
https://gidadedektifi.com/status/2331",0.08328437,0.9167156,2.0,0.9167156
"Tereyağlı ifadesi ve tereyağ görselleriyle satılan Superfresh markalı milföy hamurunda %1 tereyağ bulunuyor.
Ürün içeriğinde tereyağdan daha yüksek oranda açıkça yapay aroma vericiler ile palm, pamuk ve kanola yağlarını içeren margarin yer alıyor.
https://gidadedektifi.com/status/2342",0.8894869,0.11051307,1.0,0.8894869
"Ayrıca ""Geleneksel Karadeniz"" ismiyle satışa sunulan ve yerli çay algısı yapan bu çayın yerli ve ithal çay karışımı olduğunu belirtelim.
Ayrıca üründeki yerli çay oranının bilinmediğini ve ithal çayın menşe ülkesinin beyan edilmediğini söyleyelim. @Dogadan_Cay @TCTarim",0.9780661,0.021933885,1.0,0.9780661
"Ambalajında kekik ve domates görselleriyle dikkat çeken Knorr Çabuk Makarna Napoliten Soslu çeşidini inceleyeceğiz.
Ürün %6,5 oranında domates tozu ve %0,01 yani onbinde 1 oranında kekik içeriyor. Üründe ayrıca içeriği bilinmeyen aroma vericiler bulunuyor.",0.083205275,0.9167947,2.0,0.9167947
"Gurumen markasıyla 200 gr'lık paketlerde satışa sunulan Amerikan Salatası içeriğinde;
Mayonez aroma vericisi,
Hardal aroma vericisi,
Sarımsak aroma vericisi ile çeşitli katkı maddeleri bulunuyor. Üründe ayrıca renklendirici olarak beta karoten yer alıyor. https://",0.9576661,0.042333942,1.0,0.9576661
"Uzman görünümlü hesapların palm yağı övme yarışına yurtdışından bir yapı dahil oldu. Gıda Dedektifi yöneticisi Musa Özsoy arka planda yaşananları ve size algı yapan sözde hurafe avcılarını mercek altına aldı.
Ava giderken, avlanan bu sözde uzmanlara dikkat edin.",0.43011835,0.5698817,2.0,0.5698817
"Tarım ve Orman Bakanlığı İzmir'in Menderes ilçesinde faaliyet gösteren işletmelerde fide denetimi yaptı.
Denetimler çerçevesinde yapılan kontrollerde bakteriyel belirti taşıyan 307 bin kapya biber tespit edildi. Biberlerin imha görüntüleri kamuoyuyla paylaşıldı.
@TCTarim",0.9711171,0.028882882,1.0,0.9711171
"Birkaç gündür bazı haber siteleri ve hatta ulusal TV'ler bakanlığın sanki yeni bir domuz eti tespiti var gibi algı yapıyor.
Tarım ve Orman Bakanlığı'nın yeni bir domuz eti tespiti yok. Size 2 yıllık süreçte yayınlanan ifşaları yeni bir habermiş gibi sunanlara inanmayın.
@TCTarim",0.019834718,0.9801653,2.0,0.9801653
"Maç izlerken palm yağı ve türevleri ile aroma arttırıcı katkı maddeleri içeren cipsleri tüketmek zorunda değilsiniz.
Züber Noutos Ege Baharatlı Nohut Cipsi içeriğinde;
%59 oranında nohut unu,
%7 oranında Ege baharatlı çeşni,
Ayçiçek yağı,
Zeytinyağı ve tuz var. #Sponsorluİçerik",0.083195955,0.9168041,2.0,0.9168041
"Unilever tarafından ülkemizde üretilerek dondurma görünümünde satışa sunulan bitkisel yağlı sütlü buz ürünlerinden birini inceleyeceğiz: Carte D’or Selection Meyve Şöleni.
Ürün 60 gr'lık tek porsiyonda 17 gr ilave şeker yani yaklaşık 8 küp şeker içeriyor.",0.93886083,0.06113916,1.0,0.93886083
