temiz_metin,konu_1_skor,konu_2_skor,dominant_konu,dominant_konu_skor
"Kızılay tarafından üretilerek satışa sunulan şekersiz limonata içeriğinde %10 oranında limon suyu konsantresi ile doğal limon aroma vericisi bulunuyor.
Ürün ayrıca çeşitli katkı maddeleri ve tatlandırıcı olarak Asesülfam Potasyum ve Sukraloz içeriyor.
https://gidadedektifi.com/status/2331",0.9977297186851501,0.0,1,0.9977297
"Tereyağlı ifadesi ve tereyağ görselleriyle satılan Superfresh markalı milföy hamurunda %1 tereyağ bulunuyor.
Ürün içeriğinde tereyağdan daha yüksek oranda açıkça yapay aroma vericiler ile palm, pamuk ve kanola yağlarını içeren margarin yer alıyor.
https://gidadedektifi.com/status/2342",0.0,0.9981257915496826,2,0.9981258
"Ayrıca ""Geleneksel Karadeniz"" ismiyle satışa sunulan ve yerli çay algısı yapan bu çayın yerli ve ithal çay karışımı olduğunu belirtelim.
Ayrıca üründeki yerli çay oranının bilinmediğini ve ithal çayın menşe ülkesinin beyan edilmediğini söyleyelim. @Dogadan_Cay @TCTarim",0.12629765272140503,0.873702347278595,2,0.87370235
"Ambalajında kekik ve domates görselleriyle dikkat çeken Knorr Çabuk Makarna Napoliten Soslu çeşidini inceleyeceğiz.
Ürün %6,5 oranında domates tozu ve %0,01 yani onbinde 1 oranında kekik içeriyor. Üründe ayrıca içeriği bilinmeyen aroma vericiler bulunuyor.",0.9966017603874207,0.0,1,0.99660176
"Gurumen markasıyla 200 gr'lık paketlerde satışa sunulan Amerikan Salatası içeriğinde;
Mayonez aroma vericisi,
Hardal aroma vericisi,
Sarımsak aroma vericisi ile çeşitli katkı maddeleri bulunuyor. Üründe ayrıca renklendirici olarak beta karoten yer alıyor. https://",0.9979353547096252,0.0,1,0.99793535
"Uzman görünümlü hesapların palm yağı övme yarışına yurtdışından bir yapı dahil oldu. Gıda Dedektifi yöneticisi Musa Özsoy arka planda yaşananları ve size algı yapan sözde hurafe avcılarını mercek altına aldı.
Ava giderken, avlanan bu sözde uzmanlara dikkat edin.",0.2092735469341278,0.7907264232635498,2,0.7907264
"Tarım ve Orman Bakanlığı İzmir'in Menderes ilçesinde faaliyet gösteren işletmelerde fide denetimi yaptı.
Denetimler çerçevesinde yapılan kontrollerde bakteriyel belirti taşıyan 307 bin kapya biber tespit edildi. Biberlerin imha görüntüleri kamuoyuyla paylaşıldı.
@TCTarim",0.0,0.9981857538223267,2,0.99818575
"Birkaç gündür bazı haber siteleri ve hatta ulusal TV'ler bakanlığın sanki yeni bir domuz eti tespiti var gibi algı yapıyor.
Tarım ve Orman Bakanlığı'nın yeni bir domuz eti tespiti yok. Size 2 yıllık süreçte yayınlanan ifşaları yeni bir habermiş gibi sunanlara inanmayın.
@TCTarim",0.0,0.9985929131507874,2,0.9985929
"Maç izlerken palm yağı ve türevleri ile aroma arttırıcı katkı maddeleri içeren cipsleri tüketmek zorunda değilsiniz.
Züber Noutos Ege Baharatlı Nohut Cipsi içeriğinde;
%59 oranında nohut unu,
%7 oranında Ege baharatlı çeşni,
Ayçiçek yağı,
Zeytinyağı ve tuz var. #Sponsorluİçerik",0.9981067776679993,0.0,1,0.9981068
"Unilever tarafından ülkemizde üretilerek dondurma görünümünde satışa sunulan bitkisel yağlı sütlü buz ürünlerinden birini inceleyeceğiz: Carte D’or Selection Meyve Şöleni.
Ürün 60 gr'lık tek porsiyonda 17 gr ilave şeker yani yaklaşık 8 küp şeker içeriyor.",0.9975683093070984,0.0,1,0.9975683
"Sakarya’nın Pamukova ilçesinde merdiven altı bir tesiste sağlıksız şartlarda üretildiği tespit edilen 5 ton kaşar peyniri ele geçirildi.
Tarım Orman İl Müdürlüğü ile jandarmanın düzenlediği operasyonda 5 ton sahte kaşar peynirine el konulduğu açıklandı. https://",0.0,0.9982423186302185,2,0.9982423
"Tarım ve Orman Bakanlığı tarafından yayınlanan taklit ve tağşiş listesinde güncelleme yapıldı.
Afyonkarahisar'da üretim yapan Ertürk Et firması tarafından üretilen ısıl işlem görmüş dana sucuk ürününde kanatlı eti ve soya tespit edildiği açıklandı.
https://gidadedektifi.com/status/2327",0.0,0.9980612397193909,2,0.99806124
"Tarım ve Orman Bakanlığı İzmir'in Menderes ilçesinde faaliyet gösteren işletmelerde fide denetimi yaptı.
Denetimler çerçevesinde yapılan kontrollerde bakteriyel belirti taşıyan 307 bin kapya biber tespit edildi. Biberlerin imha görüntüleri kamuoyuyla paylaşıldı. @TCTarim",0.0,0.9981857538223267,2,0.99818575
"A101 mağazalarında kg fiyatı 70₺'ye satışa sunulan limonların içler acısı hali Gıda Dedektifi Mobil kullanıcısı tarafından böyle görüntülendi.
Eğer zamanında indirim uygulansaydı; Bu limonlar çöpe gideceğini bir ailenin sofrasına gidebilirdi. @TCTarim",0.0,0.99806147813797,2,0.9980615
"Nescafe Xpress markasıyla satışa sunulan karamel aromalı kahveli sütlü içecek ürününü inceleyeceğiz: Nescafe Express Caramel.
Gönenli Süt Ürünleri firması tarafından fason olarak üretilen üründe %0,9 yani binde 9 oranında kahve ekstraktı bulunuyor.",0.9967625141143799,0.0,1,0.9967625
"Tamek ile özdeşleşen nostaljik şişelerde yeniden satılmaya başlanan bu ürün Tamek tarafından üretilmiyor!
Ürünün gıda işletmecisi olarak Tamek gözüküyor olsa da, ürün Sakarya'da faaliyet gösteren Oğuz Gıda tarafından üretiliyor.
Peki ya neden?
@tamek
 
https://gidadedektifi.com/status/2339",0.0,0.9981858134269714,2,0.9981858
"Tarım ve Orman Bakanlığı tarafından yayınlanan taklit ve tağşiş listesinde güncelleme yapıldı.
Afyonkarahisar'da üretim yapan Ertürk Et firması tarafından üretilen ısıl işlem görmüş dana sucuk ürününde kanatlı eti ve soya tespit edildiği açıklandı. https://",0.0,0.9981255531311035,2,0.99812555
"Türkiye'de tanker tanker margarin satan, marketlerdeki birçok margarin markasının sahibi olan Yıldız Holding, İngiltere'de Jacob's markasıyla ürettiği ürünleri ""palm yağı içermez"" ifadeleriyle satıyor.
Susmuyoruz, gerçekleri Gıda Panorama'da anlatıyoruz. https:// =yX4GAtcwLJP2Xoi-&t=238 …",0.9976516366004944,0.0,1,0.99765164
"A101 şaşırtmıyor!
Yumurta gibi hassas bir ürüne tüketim tarihi geçtikten 2 gün sonra indirim yapıp satıyorlar.
Daha önce benzer durumları yayınlayan Gıda Dedektifi'ne iftira ve haksız ithamlarla dava açan A101 son dönemde belediyeler tarafından defalarca kez mühürlendi. @TCTarim",0.0,0.9984369277954102,2,0.9984369
"Bugüne kadar yaptığımız yayınlar karşısında sürekli çıkıp ""mevzuata uygun"" ve ""zararsız"" diye savunma yapıyorlardı!
Amerikan İlaç Dairesi FDA yaygın olarak kullanılan birçok katkı maddesini yeniden değerlendirmeye karar verdi: BHA, BHT de mercek alınıyor!",0.9925039410591125,0.0,1,0.99250394
"File mağazasında kg fiyatı 235₺'ye satılan sarımsağın markete gelişinin 45₺ olduğu görülüyor.
Yani sarımsağın fiyatı üreticiden tüketiciye gelene kadar 5 kat artıyor. Firmalar vergiden ""kaçınmak"" için bunu yaptıklarını belirtiyor.
https://gidadedektifi.com/status/2338
@HMBakanligi
 
@ticaret",0.0,0.9980611801147461,2,0.9980612
"Türkiye'de tanker tanker margarin satan, marketlerdeki birçok margarin markasının sahibi olan Yıldız Holding, İngiltere'de Jacob's markasıyla ürettiği ürünleri ""palm yağı içermez"" ifadeleriyle satıyor.
Susmuyoruz, gerçekleri Gıda Panorama'da anlatıyoruz.
https://youtu.be/nrL_dBD0eZU?si=yX4GAtcwLJP2Xoi-&t=238…",0.9975681304931641,0.0,1,0.99756813
Kimi takip etmeli,0.9392020106315613,0.06079798564314842,1,0.939202
"Maç izlerken palm yağı ve türevleri ile aroma arttırıcı katkı maddeleri içeren cipsleri tüketmek zorunda değilsiniz.
Züber Noutos Ege Baharatlı Nohut Cipsi içeriğinde;
%59 oranında nohut unu,
%7 oranında Ege baharatlı çeşni,
Ayçiçek yağı,
Zeytinyağı ve tuz var.
#Sponsorluİçerik",0.9981067776679993,0.0,1,0.9981068
"Tarım ve Orman Bakanlığı ekipleri Şanlıurfa'da av yasağı döneminde avlanan 1,5 ton sazan balığı tespit etti.
Kaçak avlanan kişiye 37 bin 700₺ idari para cezası verilirken insan sağlığına uygun olmadığı tespit edilen balıkların imha edildiği duyuruldu.
https://gidadedektifi.com/status/2323",0.0,0.9982953071594238,2,0.9982953
"File mağazalarında dondurulmuş ürün reyonlarında satışa sunulan Harras markalı Lahmacun ürününü inceleyeceğiz. Ürün 440 gr’lık paketlerde 4’lü olarak satışa sunuluyor.
Hacıbozanoğulları firması tarafından üretilen üründe %18 oranında dana kıyma bulunuyor.",0.9971650242805481,0.0,1,0.997165
"Ambalajında karpuz görselleri yer alan Vivident Xylit markalı 45 Dakika Karpuz Aromalı ürünü inceleyeceğiz.
Ürün içeriğinde çok sayıda tatlandırıcı, içeriği beyan edilmeyen aroma vericiler ve renklendirici olarak E120 koduyla beyan edilen Karmin bulunuyor.",0.9966017007827759,0.0,1,0.9966017
Evreni Merak Ediyoruz Evreni Merak Ediyoruz @evrenseImerak Takip et Takip et Evrene dair her şeyi sizlerle paylaşıyoruz. İletişim ve telif hakkı için DM,0.9834184646606445,0.016581503674387932,1,0.98341846
"Hemen Cappy canavarı da geldi.
Cappy Atom ismiyle satışa sunulan karışık meyve nektarından garip bir cisim çıktığı görülüyor. Bu ürünlerin üretim süreçleri gerçekten denetleniyor mu? @CappyTR @TCTarim",0.1393710821866989,0.8606289029121399,2,0.8606289
"Superfresh markasıyla dondurulmuş gıda reyonlarında yer alan ve ambalajındaki “Dana etli” ifadesiyle dikkat çeken Dondurulmuş Mantı ürününü inceleyeceğiz.
Üründe %2 oranında dana kıyma bulunuyor yani 1 kg'lık tek paket sadece 20 gr dana kıyma içeriyor.",0.9967625141143799,0.0,1,0.9967625
"Tarım ve Orman Bakanlığı'nın İzmir'de yaptığı denetimlerde son tüketim tarihi geçmiş, etiketsiz, küflenmiş ve bozulmuş süt ve süt ürünleri ile salça ürünleri tespit edilerek imha edildi.
Yapılan açıklamada 7 bin kg süt ürününün imha edildiği duyuruldu. https://",0.0,0.9976595044136047,2,0.9976595
Türkiye’den ithal edilen ürünlere yönelik tepkilerin yer aldığı ve bugün sosyal medyaya düşen bu görüntüler Hindistan’da çekildi. Hindistan kamuoyunda Türkiye’nin Pakistan’a verdiği siyasi destek nedeniyle Türk ürünlerine yönelik tepkiler artmaya başladı. Bu kapsamda Hindistan’a,0.9943588376045227,0.0,1,0.99435884
"Gıda Dedektifi Mobil uygulamasına sev_o_can tarafından gönderilen şikayette; ""Cappy markalı atom ballı karışık meyve nektarı adı altında satın aldığım bu ürünün içinde bardağa koyarken fark ettiğim bu görüntü beni şok etti"" ifadeleri yer alıyor. https://gidadedektifi.com/sikayet/1397 https://",0.0,0.9970477223396301,2,0.9970477
"Gıda Dedektifi Mobil uygulamasına kbrvc tarafından gönderilen şikayette; ""Ankara'nın Çankaya ilçesinde Hoşdere caddesindeki A101 mağazasında limonların hali içler acısı. Adamların kilosu 70 liraya sattıkları limona bakar mısınız?"" ifadeleri yer alıyor. https://",0.0,0.9981258511543274,2,0.99812585
"""Sütü sevdirir"" sloganıyla ve çilek görselleriyle satılan Nestlé Nesquik Çilek Aromalı süt çilek değil, yapay çilek aroma vericisi içeriyor.
Ürünün 180 ml'lik tek kutusunu tüketen bir çocuk 9,5 gr ilave şeker yani yaklaşık 5 küp şeker tüketmiş oluyor. https://",0.35694003105163574,0.6430599689483643,2,0.64305997
"Ülker markasıyla uzun yıllardır üretilerek satışa sunulan bütün fındıklı Ece Fındıklı Sütlü çikolatayı inceleyeceğiz.
Ürün %8 oranında bütün fındık ve %4,3 oranında fındık püresi içeriyor. Üründe ayrıca içeriği bilinmeyen aroma vericiler bulunuyor.",0.9973821640014648,0.0,1,0.99738216
"Büyük gıda kartelleri nerdeyse her restoranın, lokantanın, kafenin mutfağındalar!
Konya'da bir sokakta bir restoranın mutfak deposuna kaldırılmayı bekleyen bu kutuların içinde yeni nesil margarinler yani bitkisel susuz yağ var. https://",0.062416959553956985,0.9375830292701721,2,0.937583
"Palm yağı ve türevlerinin yanı sıra, yapay herhangi bir bileşen de içermeyen Züber Noutos Kajun Baharatlı Nohut Cipsi'ni inceleyeceğiz.
Ürün içeriğinde %58 oranında nohut unu bulunurken, aroma arttırıcı katkı maddeleri de yer almıyor.
#Sponsorluİçerik",0.9978026151657104,0.0,1,0.9978026
"denetle! denetle! @denetlecomtr Takip et Takip et Türkiye’nin En Büyük Dijital Denetim Platformu | Ürün, içerik ve şikayetleri inceliyoruz #DenetimSizde",0.9888327121734619,0.011167332530021667,1,0.9888327
"Oses markasıyla üretilerek satışa sunulan etsiz hazır çiğ köfte ürününü inceleyeceğiz.
Üründeki çiğ köfte çeşnisi içeriğinde sofra şekeri, tam hidrojenize palm ve malt ekstraktı yer alıyor. Üründe aroma arttırıcı ve türevleri katkı maddesi bulunmuyor.",0.9967625737190247,0.0,1,0.9967626
"Ankara'daki Atatürk Orman Çiftliği Süt Fabrikası'nda üretilen sade dondurma içeriğinde;
Pastörize süt,
Sofra şekeri,
Süt tozu,
Pastörize süt kreması,
Vanilya aroma vericisi ile
Guar gum,
Sodyum Aljinat,
Locust Bean Gum gibi kıvam arttırıcılar bulunuyor.
https://gidadedektifi.com/status/2374",0.9979957342147827,0.0,1,0.99799573
"İzmir'de faaliyet gösteren Öncü markalı döner restoranında sabah saatlerinde güneşin altında mevzuata aykırı olarak bekleyen ayranlar böyle görüntülendi.
Soğuk zinciri bozulmuş bu ayranlar muhtemelen sonrasında soğutuldu ve tüketicilere servis edildi.
https://gidadedektifi.com/status/2372",0.0,0.9979922771453857,2,0.9979923
"A101 şaşırtmıyor!
Yumurta gibi hassas bir ürüne tüketim tarihi geçtikten 2 gün sonra indirim yapıp satıyorlar.
Daha önce benzer durumları yayınlayan Gıda Dedektifi'ne iftira ve haksız ithamlarla dava açan A101 son dönemde belediyeler tarafından defalarca kez mühürlendi.
@TCTarim",0.0,0.9984369277954102,2,0.9984369
"Pınar Aç Bitir markasıyla satılan Hindi Füme ambalajında ""yüksek protein"" ifadesi yer alıyor.
Tek pakette 9 gr protein içeren üründe;
Hindi göğüs eti,
Patates nişastası,
Baharat karışımı,
Kıvam arttırıcı ve içeriği bilinmeyen aroma vericiler bulunuyor.
https://gidadedektifi.com/status/2379",0.9978026151657104,0.0,1,0.9978026
"Ferrero markasıyla satışa sunulan oyuncaklı sürpriz yumurta ürünü Kinder Joy Hindistan'dan ülkemize ithal ediliyor.
Ürün 20 gr'lık tek adette 10,2 gr ilave şeker yani yaklaşık 5 küp şeker içeriyor. Üründe içeriği bilinmeyen yapay aroma vericiler var. https://",0.9979959726333618,0.0,1,0.997996
"Yaz ayları gelirken soğuk çaylar gündeme gelmeye başladı. Bugün Coca Cola'nın ürettiği Fuse Tea Yeşil Çaylı çeşidi inceleyeceğiz.
Oo, yeşil çaylı ürün yapmışlar diyenler için baştan söyleyelim: Ürün %0,1 yani binde 1 oranında yeşil çay ekstraktı içeriyor!",0.9954779148101807,0.0,1,0.9954779
"Neredeyse her hafta başka bir belediye tarafından mühürlenen, bugüne kadar onlarca mağazasında son tüketim tarihi geçmiş ve halk sağlığını tehdit eden ürünler tespit edilen, buna rağmen bu gerçekleri yıllardır yazan Gıda Dedektifi’ne güç gösterisi yapmak için davalar açan A101",0.0,0.9976593852043152,2,0.9976594
"Pınar Aç Bitir markasıyla satılan Hindi Füme ambalajında ""yüksek protein"" ifadesi yer alıyor.
Tek pakette 9 gr protein içeren üründe;
Hindi göğüs eti,
Patates nişastası,
Baharat karışımı,
Kıvam arttırıcı ve içeriği bilinmeyen aroma vericiler bulunuyor. https://",0.9978709816932678,0.0,1,0.997871
"Meksika hükümeti, küresel gıda devlerinin ve ABD'nin yoğun baskılarına rağmen tarihi bir adım atarak genetiği değiştirilmiş yani GDO'lu mısır tohumlarının kullanımını anayasal olarak yasakladı.",0.0,0.9907814264297485,2,0.9907814
"Tüketmeden önce dikkat edin: Çay firmaları bergamot aromasını standart yaptı!
""Karadeniz"" veya ""Geleneksel Karadeniz"" ismiyle satılan bu çaylarda yapay bergamot aroması kullanılıyor.
Neden bu çaylara yapay aromalar ekleniyor?",0.0,0.9978386759757996,2,0.9978387
"Gıda Dedektifi Mobil uygulamasına nurullahcan tarafından gönderilen şikayette; ""Son tüketim tarihi geçmiş tavuk ürünlerinin kontrolleri yapılmıyor herhalde bir de indirime koyup satıyorlar."" ifadeleri yer alıyor. https://gidadedektifi.com/sikayet/1359/ https://",0.0,0.9964985251426697,2,0.9964985
"Uzun yıllardır fındıklı barlarıyla bilinen Tadelle markasıyla son dönemde üretmeye başlanan Antep fıstıklı Sütlü Çikolata ürününü inceliyoruz.
%12 oranında Antep fıstığı içeren ürünün tek paketinde 24,4 gr ilave şeker yani yaklaşık 12 küp şeker bulunuyor.",0.9967624545097351,0.0,1,0.99676245
"Ankara'daki Atatürk Orman Çiftliği Süt Fabrikası'nda üretilen sade dondurma içeriğinde;
Pastörize süt,
Sofra şekeri,
Süt tozu,
Pastörize süt kreması,
Vanilya aroma vericisi ile
Guar gum,
Sodyum Aljinat,
Locust Bean Gum gibi kıvam arttırıcılar bulunuyor. https://",0.9980527758598328,0.0,1,0.9980528
"Metro mağazalarında son tüketim tarihi yaklaşan temel gıda maddelerine indirimler yapılmaya başladı.
Son tüketim tarihi yaklaşan ürünler ""tarihi dolmadan tüketelim"" ifadelerinin yer aldığı ayrı bir reyonda indirimli olarak satışa sunuluyor. https://",0.0,0.9981858730316162,2,0.9981859
"Tamek ile özdeşleşen nostaljik şişelerde yeniden satılmaya başlanan bu ürün Tamek tarafından üretilmiyor!
Ürünün gıda işletmecisi olarak Tamek gözüküyor olsa da, ürün Sakarya'da faaliyet gösteren Oğuz Gıda tarafından üretiliyor.
Peki ya neden? @tamek https://",0.0,0.9982423186302185,2,0.9982423
"File mağazasında kg fiyatı 235₺'ye satılan sarımsağın markete gelişinin 45₺ olduğu görülüyor.
Yani sarımsağın fiyatı üreticiden tüketiciye gelene kadar 5 kat artıyor. Firmalar vergiden ""kaçınmak"" için bunu yaptıklarını belirtiyor. https:// @HMBakanligi @ticaret",0.0,0.9981255531311035,2,0.99812555
Röportaj Adam Röportaj Adam @RoportajAdam Takip et Takip et,0.9678149223327637,0.032185059040784836,1,0.9678149
"Gıda Dedektifi Mobil uygulamasına ahmetaslan tarafından gönderilen şikayette; ""Jucy Şeftali güncel tarihli meyve suyu içinden çıkana bakar mısınız?"" ifadeleri yer alıyor.
Ürün içinden garip bir cisim çıktığı görülüyor. https://gidadedektifi.com/sikayet/1403 https://",0.17565859854221344,0.824341356754303,2,0.82434136
