temiz_metin,konu_1_skor,konu_2_skor,dominant_konu,dominant_konu_skor
"Kızılay tarafından üretilerek satışa sunulan şekersiz limonata içeriğinde %10 oranında limon suyu konsantresi ile doğal limon aroma vericisi bulunuyor.
Ürün ayrıca çeşitli katkı maddeleri ve tatlandırıcı olarak Asesülfam Potasyum ve Sukraloz içeriyor.
https://gidadedektifi.com/status/2331",0.9979154467582703,0.0,1,0.99791545
"Tereyağlı ifadesi ve tereyağ görselleriyle satılan Superfresh markalı milföy hamurunda %1 tereyağ bulunuyor.
Ürün içeriğinde tereyağdan daha yüksek oranda açıkça yapay aroma vericiler ile palm, pamuk ve kanola yağlarını içeren margarin yer alıyor.
https://gidadedektifi.com/status/2342",0.0,0.997823178768158,2,0.9978232
"Ayrıca ""Geleneksel Karadeniz"" ismiyle satışa sunulan ve yerli çay algısı yapan bu çayın yerli ve ithal çay karışımı olduğunu belirtelim.
Ayrıca üründeki yerli çay oranının bilinmediğini ve ithal çayın menşe ülkesinin beyan edilmediğini söyleyelim. @Dogadan_Cay @TCTarim",0.0,0.9979584813117981,2,0.9979585
"Ambalajında kekik ve domates görselleriyle dikkat çeken Knorr Çabuk Makarna Napoliten Soslu çeşidini inceleyeceğiz.
Ürün %6,5 oranında domates tozu ve %0,01 yani onbinde 1 oranında kekik içeriyor. Üründe ayrıca içeriği bilinmeyen aroma vericiler bulunuyor.",0.9968799352645874,0.0,1,0.99687994
"Gurumen markasıyla 200 gr'lık paketlerde satışa sunulan Amerikan Salatası içeriğinde;
Mayonez aroma vericisi,
Hardal aroma vericisi,
Sarımsak aroma vericisi ile çeşitli katkı maddeleri bulunuyor. Üründe ayrıca renklendirici olarak beta karoten yer alıyor. https://",0.9981042742729187,0.0,1,0.9981043
"Uzman görünümlü hesapların palm yağı övme yarışına yurtdışından bir yapı dahil oldu. Gıda Dedektifi yöneticisi Musa Özsoy arka planda yaşananları ve size algı yapan sözde hurafe avcılarını mercek altına aldı.
Ava giderken, avlanan bu sözde uzmanlara dikkat edin.",0.28280696272850037,0.717193067073822,2,0.71719307
"Tarım ve Orman Bakanlığı İzmir'in Menderes ilçesinde faaliyet gösteren işletmelerde fide denetimi yaptı.
Denetimler çerçevesinde yapılan kontrollerde bakteriyel belirti taşıyan 307 bin kapya biber tespit edildi. Biberlerin imha görüntüleri kamuoyuyla paylaşıldı.
@TCTarim",0.0,0.9978928565979004,2,0.99789286
"Birkaç gündür bazı haber siteleri ve hatta ulusal TV'ler bakanlığın sanki yeni bir domuz eti tespiti var gibi algı yapıyor.
Tarım ve Orman Bakanlığı'nın yeni bir domuz eti tespiti yok. Size 2 yıllık süreçte yayınlanan ifşaları yeni bir habermiş gibi sunanlara inanmayın.
@TCTarim",0.9984350204467773,0.0,1,0.998435
"Maç izlerken palm yağı ve türevleri ile aroma arttırıcı katkı maddeleri içeren cipsleri tüketmek zorunda değilsiniz.
Züber Noutos Ege Baharatlı Nohut Cipsi içeriğinde;
%59 oranında nohut unu,
%7 oranında Ege baharatlı çeşni,
Ayçiçek yağı,
Zeytinyağı ve tuz var. #Sponsorluİçerik",0.998261570930481,0.0,1,0.9982616
"Unilever tarafından ülkemizde üretilerek dondurma görünümünde satışa sunulan bitkisel yağlı sütlü buz ürünlerinden birini inceleyeceğiz: Carte D’or Selection Meyve Şöleni.
Ürün 60 gr'lık tek porsiyonda 17 gr ilave şeker yani yaklaşık 8 küp şeker içeriyor.",0.9977672696113586,0.0,1,0.99776727
"Sakarya’nın Pamukova ilçesinde merdiven altı bir tesiste sağlıksız şartlarda üretildiği tespit edilen 5 ton kaşar peyniri ele geçirildi.
Tarım Orman İl Müdürlüğü ile jandarmanın düzenlediği operasyonda 5 ton sahte kaşar peynirine el konulduğu açıklandı. https://",0.0,0.9979584813117981,2,0.9979585
"Tarım ve Orman Bakanlığı tarafından yayınlanan taklit ve tağşiş listesinde güncelleme yapıldı.
Afyonkarahisar'da üretim yapan Ertürk Et firması tarafından üretilen ısıl işlem görmüş dana sucuk ürününde kanatlı eti ve soya tespit edildiği açıklandı.
https://gidadedektifi.com/status/2327",0.18602165579795837,0.813978374004364,2,0.8139784
"Tarım ve Orman Bakanlığı İzmir'in Menderes ilçesinde faaliyet gösteren işletmelerde fide denetimi yaptı.
Denetimler çerçevesinde yapılan kontrollerde bakteriyel belirti taşıyan 307 bin kapya biber tespit edildi. Biberlerin imha görüntüleri kamuoyuyla paylaşıldı. @TCTarim",0.0,0.9978928565979004,2,0.99789286
"A101 mağazalarında kg fiyatı 70₺'ye satışa sunulan limonların içler acısı hali Gıda Dedektifi Mobil kullanıcısı tarafından böyle görüntülendi.
Eğer zamanında indirim uygulansaydı; Bu limonlar çöpe gideceğini bir ailenin sofrasına gidebilirdi. @TCTarim",0.9978440403938293,0.0,1,0.99784404
