temiz_metin,konu_1_skor,konu_2_skor,dominant_konu,dominant_konu_skor
Sean Strickland'in son hali.,0.04880287125706673,0.95119708776474,2,0.9511971
on Saturday!,0.5298662185668945,0.47013381123542786,1,0.5298662
"kartında gecenin maçı

Alonzo Menifield",0.9667004942893982,0.033299513161182404,1,0.9667005
40 yaşındaki Josh Emmet,0.9566845297813416,0.04331545904278755,1,0.9566845
#UFC305,0.5298662185668945,0.47013381123542786,1,0.5298662
YAYIN BAŞLADI!,0.5298662185668945,0.47013381123542786,1,0.5298662
"Şampiyon Alexandre Pantoja, koruduğu kemerleriyle",0.1236657127737999,0.8763342499732971,2,0.87633425
"kart değerlendirmesi, taraf bildirimi, Emre’nin yalanları ve daha fazlası…",0.42620402574539185,0.5737959742546082,2,0.573796
Ion Cutelaba ilk rauntta İbo Aslan'ı pes ettirmeyi başardı.,0.20964086055755615,0.7903591990470886,2,0.7903592
Jon Jones,0.07002627104520798,0.9299737215042114,2,0.9299737
Alex  Pereira ve Magomed Ankalaev ilk defa yüzleşti!,0.022122735157608986,0.9778772592544556,2,0.97787726
"Bogdan Grad, ikinci rauntta teknik nakavt ile Lucas Alexander karşısında galibiyete ulaşıyor. Böylelikle UFC başlangıcında galibiyete ulaşıyor",0.849962055683136,0.15003789961338043,1,0.84996206
Ana Kart,0.9379162788391113,0.06208367273211479,1,0.9379163
kartında Justin Gaethje ile olan maçtan çekildiği söyleniyor.,0.16263027489185333,0.8373697400093079,2,0.83736974
"Ana kart nakavtla başladı!

Sam Patterson ilk rauntta Danny Barlow’u nakavt ediyor!",0.9861099123954773,0.013890113681554794,1,0.9861099
"Justin Gaethje: ""Sanırım bunun nedeni benim son dövüşte çok fena nakavt olmam.""",0.12415719777345657,0.875842809677124,2,0.8758428
36 basketbolcu,0.5298662185668945,0.47013381123542786,1,0.5298662
Alex Pereira’nın eski kız arkadaşı,0.048833198845386505,0.9511668086051941,2,0.9511668
"belkide yılın maçlarından birinde Rongzhu, Kody Steeleöi hakemlerin ortak kararıyla mağlup etmeyi başardı.",0.14055564999580383,0.8594443798065186,2,0.8594444
"Sportico, dünyanın en yüksek kazanç sağlayan 100 sporcusunu yayınladı:",0.12379582226276398,0.8762041330337524,2,0.87620413
Carlos Prates basın toplantısında muhabirlerden sigara istiyor.,0.6816498637199402,0.3183501064777374,1,0.68164986
teşekkürler,0.5298662185668945,0.47013381123542786,1,0.5298662
Bu akşam 21.30 Youtube'da Canlı Yayın!,0.9667311906814575,0.03326885402202606,1,0.9667312
Julianna Pena vs. Amanda Nunes,0.07009319216012955,0.9299068450927734,2,0.92990685
kartından,0.8902701735496521,0.1097298189997673,1,0.8902702
