temiz_metin,duygu_sinifi,duygu_skoru
"Baklava 😉

Tebrikler @Fenerbahce  👏🏻👏🏻👏🏻",positive,0.9978480339050293
📍Gabar https://t.co/MHCuK0dwUd,positive,0.93939608335495
"RT @Akparti: Bir genç var; yüreğiyle geleceği görüyor…
Bir ülke var; böyle gençlerle büyüyor…
Zülal ve onun gibi azmiyle, aklıyla, ilhamıyl…",positive,0.9984700083732605
"RT @RTErdogan: 2024-2025 Süper Lig Şampiyonu olan Galatasaray futbol takımını, teknik heyetini ve tüm @GalatasaraySK camiasını yürekten teb…",positive,0.9781413674354553
"RT @RTErdogan: Sağlık, bizden önce milletimizin en fazla şikâyet ettiği alanlardan biriydi.

Sağlam girenin hasta çıktığı o yapıyı değiştir…",negative,0.9480969309806824
RT @RTErdogan: İstanbul’u modern sağlık tesisleriyle donatmaya devam ediyoruz. https://t.co/TiZ1ZgndkS,positive,0.9982142448425293
"Anlaşılan CHP, her kademede Ekrem İmamoğlu'na benzemeye başlamış...",negative,0.9933760762214661
"RT @gundem7x24: NATO Genel Sekreteri Rutte:

Cumhurbaşkanı Erdoğan NATO içinde inanılmaz bir lider ve meslektaşları tarafından gerçekten sa…",positive,0.996217668056488
"RT @RTErdogan: Bizim, başta ülkemizde ve bölgemizde olmak üzere küresel ölçekte barıştan, huzurdan, demokrasi, güvenlik ve istikrardan başk…",positive,0.9939895868301392
RT @CMShehbaz: Sevgili kardeşim Cumhurbaşkanı Recep Tayyip Erdoğan'ın Pakistan'a olan güçlü desteği ve sarsılmaz dayanışması beni derinden…,positive,0.9896092414855957
"Türkiye Cumhuriyeti, Aziz Şehitlerimizin ve gazilerimizin büyük fedakarlıkları, devletimizin kararlı mücadelesiyle 40 yıldır ayağına bağ olan terör belasını geride bırakarak yeni bir döneme yelken açıyor.

Cumhuriyetimizin ikinci yüzyılında ""Terörsüz Türkiye"" hedefi ülkemiz ve",positive,0.8776813745498657
"Bakanımızın dikkatine getirdiğiniz için teşekkürler.

Vatandaşlarımızın bizleri düşündüğünü belli etmesi mutluluk verici...",negative,0.7533892393112183
"RT @gundem7x24: Emine Erdoğan, Mattia Ahmet Minguzzi’nin annesi Yasemin Minguzzi ile Anneler Günü etkinliğinde bir araya geldi. https://t.c…",positive,0.9904787540435791
"RT @YucelArzen: ZALİME BOYUN EĞMEYEN
ASLA KÖLE OLMAYACAK

Hür Nesiller Yetiştiren Hür Annelerin 
Anneler Günü Kutlu Olsun
❤️🌸 https://t.co/…",positive,0.997078537940979
"RT @ahmetcinpendik: Mattia Ahmet Minguzzi evladımızın adını verdiğimiz spor kompleksimizin açılışını hep birlikte gerçekleştirdik.

Ahmet y…",NEUTRAL,0.5445541739463806
"RT @gundem7x24: AK Parti Kadın Kolları’nın düzenlediği Anne ile Güçlü Aile, Aileyle Güçlü Türkiye programında konuşan Cumhurbaşkanı Erdoğan…",positive,0.9881061315536499
"RT @eafyoncu: Fatih Sultan Mehmed’e aslı astarı olmayan gömlekler giydirilir. En son seküler dendi. Bunlar tarihi gerçeklerle örtüşmeyen, u…",negative,0.9981227517127991
RT @gundem7x24: Ali Mahir Başarır’ın CHP’nin Beyazıt Mitingi’nde elektriklerin bilerek kesildiği iddiası bölgedeki elektrik dağıtım şirketi…,negative,0.9405331611633301
RT @gundemedairhs: Adana'da yaklaşık 2 hafta önce yağan yağmurda göle dönen alt geçidin suyu Adana Büyükşehir Belediyesi tarafından çekilme…,positive,0.6287810206413269
RT @gundemedairhs: İzmir'de Konak Belediyesi işçilerinin greve gitmesiyle cadde ve sokaklarda çöp yığınları oluştu. https://t.co/fCOe9oymzr,negative,0.9988721013069153
CHP ve avanelerinin istikrarlı şekilde yapabildikleri tek bir şey var: yalan söylemek.,negative,0.9914121627807617
"Özgür Özel bu sefer, metrekareye 37 değil 26 kişi sığdırdığını iddia etmiş. 

Yavaş yavaş gerçek sayıya ulaşacaksın, ha gayret! @eczozgurozel https://t.co/yJ8kPhYpim",negative,0.9856518507003784
"RT @nonregemesse: In AD 988, six thousand Rus warriors entered the service of the Roman Empire and formed one of the most legendary elite u…",positive,0.9774314761161804
