temiz_metin,konu_1_skor,konu_2_skor,konu_3_skor,dominant_konu,dominant_konu_skor
Ali Yerlikaya Ali Yerlikaya @AliYerlikaya · 7 7 7 44 44 44 241 241 241 21 21 21,0.9860411882400513,0.0,0.0,1,0.9860412
Şırnak'ta gerçekleştirdiğimiz Türkiye’nin Huzuru Toplantısı’nda Basın Açıklamamızı gerçekleştiriyoruz. Şırnak #CanlıYayın,0.0,0.0,0.9882561564445496,3,0.98825616
AK Parti TBMM Grup Toplantısı https:// PlKQbDgowqGE …,0.012972373515367508,0.5322302579879761,0.4547974169254303,2,0.53223026
"Şırnak’ta terör silindikçe yaylalar özgürleşiyor, turizm canlanıyor, Gabar’da yeni petrol kuyuları açılıyor. Terör bittikçe istihdam artıyor, bereket geliyor.

İşte bunu Cumhurbaşkanımız Sayın 
@RTErdogan
’ın güçlü vizyonu ve kahraman güvenlik güçlerimizin sarsılmaz iradesiyle",0.0,0.0,0.9961629509925842,3,0.99616295
"2024 yılı içerisinde Emniyet ve Jandarma Trafik ekiplerimizce; Şehirlerarası Yolcu Taşımacılığı Yapan Otobüs cinsi araçlarla ilgili toplam: 2 milyon 376 bin 21 adet denetim, 447 bin 978 sürücüye/araca ise işlem yapıldı Ayrıca 2024 yılında şehirlerarası yolcu",0.0,0.9961103796958923,0.0,2,0.9961104
"Milletimizin başı sağ olsun 

Pençe-Kilit operasyonu bölgesinde çıkan çatışmada Şehit olan Kahraman P. Komd. Bnb. Murat Kemal YETİŞEN’e Allah'tan rahmet, kederli ailesine, Türk Silahlı Kuvvetlerimize ve Milletimize baş sağlığı diliyorum. 

Makamı âli olsun",0.20411677658557892,0.0,0.7942028641700745,3,0.79420286
"Mardin’de K.K.’nin elebaşılığını yaptığı Silah ve Mühimmat Kaçakçılığı yapan Organize Suç Örgütüne yönelik Jandarma tarafından düzenlenen ""HÜCRE-13"" operasyonunda; 30 adet Ruhsatsız Tabanca, 21 adet  AK-47 Kalaşnikof Tüfeği, 3 adet G-3 Piyade Tüfeği, 2 adet M-16",0.0,0.9957223534584045,0.0,2,0.99572235
Ali Yerlikaya Ali Yerlikaya @AliYerlikaya · 14 14 14 34 34 34 175 175 175 33 B 33 B 33 B,0.9860406517982483,0.0,0.0,1,0.98604065
"Cumhurbaşkanımız Sayın @RTErdogan :

""Marjinal örgütlerin ve şehir eşkıyalarının saldırıları sebebiyle beş günde 123 güvenlik görevlimiz yaralanmıştır. Kendilerine bir kez daha geçmiş olsun dileklerimi iletiyorum.

Her türlü provokasyona rağmen sabırla ve soğukkanlılıkla",0.9960858225822449,0.0,0.0,1,0.9960858
"Kurulduğu 14 Ağustos 2001 tarihinden itibaren @Akparti ’miz Aziz Milletimizle beraber kutlu bir yolculuğa çıktı. 

Bu yolda durup dinlenmek yoktu. Vesayet odaklarına boyun eğmek yoktu. Uçsuz bucaksız semalarda, Mavi Vatan’da, Kara Vatan’da yerli ve milli teknolojilerimizle boy",0.9966576099395752,0.0,0.0,1,0.9966576
"Mardin’de K.K.’nin elebaşılığını yaptığı Silah ve Mühimmat Kaçakçılığı yapan Organize Suç Örgütüne yönelik Jandarma tarafından düzenlenen ""HÜCRE-13"" operasyonunda;
 30 adet Ruhsatsız Tabanca, 
 21 adet  AK-47 Kalaşnikof Tüfeği, 
 3 adet G-3 Piyade Tüfeği, 
 2 adet M-16",0.0,0.9957223534584045,0.0,2,0.99572235
"Ticaret Bakanlığımız Gümrükler Muhafaza NARKOKİM ekiplerini İstanbul Havalimanı’nda yürüttükleri başarılı operasyon dolayısıyla tebrik ediyorum.

Zehir tacirlerine göz açtırmayacağız.

#TürkiyeninHuzuru",0.10686150193214417,0.8899133801460266,0.0,2,0.8899134
"Türkiye Yüzyılı’nda Türkiye’nin Göç Yönetimi Modeli Programı’nın hayırlara vesile olmasını diliyorum.

Panele iştirak eden tüm bürokratlarımıza, akademisyenlerimize ve alanında uzman isimlere katkılarından dolayı teşekkür ediyorum.",0.0,0.0976385548710823,0.8986634016036987,3,0.8986634
"“10 ilde 11 ayrı organize suç örgütüne yönelik yaptığımız operasyonlarda 86 TUTUKLAMA""
 İstanbul’da T.B. (tutuklandı) ve S.G’nin (yurt dışı firar) (2 ayrı örgüt),
 Diyarbakır’da Ş.T.’nin (tutuklandı),
 Ankara’da R.A.’nın (tutuklandı),
 Gaziantep’te S.Y.’nin (tutuklandı),",0.0,0.9954188466072083,0.0,2,0.99541885
