temiz_metin,konu_1_skor,konu_2_skor,konu_3_skor,dominant_konu,dominant_konu_skor
"Hayatlarını Türkiye’nin bağımsızlığına armağan eden; Deniz Gezmiş, Yusuf Aslan ve Hüseyin İnan'ı, idam edilişlerinin 53’üncü yılında mezarları başında andık. 

İnandıkları değerlere, tam bağımsızlık hayallerine, “özgür Filistin” davalarına ortağız.

Sevgi ve özlemle anıyorum.",0.011454034596681595,0.9805631637573242,0.0,2,0.98056316
Özgür Özel Özgür Özel @eczozgurozel · 20 20 20 32 32 32 314 314 314 37 B 37 B 37 B,0.9628818035125732,0.020150313153862953,0.016967903822660446,1,0.9628818
Ekrem İmamoğlu'ndan açıklama:,0.09763063490390778,0.08091538399457932,0.8214539885520935,3,0.821454
Bolu Kartalkaya'da yangın faciasının yaşandığı otelin önündeyiz https:// MYGNMMjXpOKw …,0.1496245563030243,0.8395177721977234,0.010857722721993923,2,0.8395178
Beşiktaş Belediyemizin önündeyiz https:// LyGBgnAkNoJN …,0.9543002247810364,0.024810023605823517,0.02088981308043003,1,0.9543002
İstanbul Saraçhane'deyiz,0.05574885755777359,0.04612782597541809,0.8981233239173889,3,0.8981233
Bu akşam Mehmet Akif Ersoy’un sunduğu Özel Röportaj programının canlı yayın konuğu olacağım. 15 Mayıs Perşembe 20.00 HaberTürk TV,0.0,0.0,0.9854680299758911,3,0.98546803
Aydın Kuşadası Belediyemizin toplu açılış törenini gerçekleştiriyoruz.,0.3405321538448334,0.6451794505119324,0.014288370497524738,2,0.64517945
Ankara Etimesgut'ta iftar programındayız https://x.com/i/broadcasts/1DXGyqBoddgGM…,0.9542953968048096,0.024812746793031693,0.020891832187771797,1,0.9542954
Yarın sabah İlker Karagöz ile Çalar Saat programının canlı yayın konuğu olacağım. 13 Mayıs Salı 09.00 Now TV,0.0,0.0,0.9854839444160461,3,0.98548394
"Değerli İstanbullular,

İstanbul Büyükşehir Belediyemiz ve İlçe Belediyelerimiz tüm ekipleriyle sahada İstanbulluların yanında. Birçok farklı noktada ücretsiz ikramlarla, İBB ve ilçe belediyelerimizin sabaha kadar açık olan tesisleri ile yanınızdayız. Belediyelere",0.9930180311203003,0.0,0.0,1,0.99301803
"Tarladaki buğdaydan sofradaki ekmeğe uzanan her lokmada bir çiftçinin alın teri, emeği, sabrı var.  Ama ne yazık ki, emeğinin karşılığını alamayan, mazotu, gübresi, tohumu ateş pahası olan çiftçiler bu topraklarda her geçen gün yalnız bırakılıyor.

Biz bu düzeni değiştirmeye,",0.0,0.9865107536315918,0.0,2,0.98651075
Ankara’da 19 Mayıs Yarı Maratonu ve Halk Koşusundayız.,0.03898021951317787,0.03226765990257263,0.9287521243095398,3,0.9287521
"Ya Adalet, Ya Sefalet!
#1Mayıs",0.038975413888692856,0.9338449835777283,0.02717955969274044,2,0.933845
Beşiktaş Belediyemiz önündeyiz https:// mrGmMyjoYNGy …,0.9542992115020752,0.02481055073440075,0.020890286192297935,1,0.9542992
